Filename|Detected Text|Confidence
----------------------------------------
Cars0_plate_0.png|KLO1CA2555|0.893
Cars100_plate_0.png||0.0
Cars101_plate_0.png||0.0
Cars102_plate_0.png|6861136|0.577
Cars103_plate_0.png|No text detected|0.0
Cars103_plate_1.png|No text detected|0.0
Cars104_plate_0.png||0.0
Cars105_plate_0.png||0.0
Cars106_plate_0.png|No text detected|0.0
Cars106_plate_1.png|No text detected|0.0
Cars106_plate_2.png|No text detected|0.0
Cars106_plate_3.png|No text detected|0.0
Cars107_plate_0.png|MH2OB020|0.868
Cars108_plate_0.png||0.0
Cars109_plate_0.png|CZI7KOD|0.457
Cars10_plate_0.png|2765|0.987
Cars110_plate_0.png|No text detected|0.0
Cars111_plate_0.png|MH20EE7598|0.854
Cars112_plate_0.png||0.0
Cars113_plate_0.png|SHINGTON|0.506
Cars114_plate_0.png|585AP29BP|0.872
Cars115_plate_0.png|MS66YOB|0.675
Cars116_plate_0.png|MK3532|0.987
Cars117_plate_0.png|No text detected|0.0
Cars118_plate_0.png|JA62UAR|0.722
Cars119_plate_0.png|No text detected|0.0
Cars11_plate_0.png||0.0
Cars120_plate_0.png|B2228HM|0.966
Cars121_plate_0.png|No text detected|0.0
Cars122_plate_0.png||0.0
Cars123_plate_0.png|HR26BC5S14|0.705
Cars124_plate_0.png|No text detected|0.0
Cars125_plate_0.png|RP|0.827
Cars126_plate_0.png|MG1909|0.742
Cars127_plate_0.png||0.0
Cars128_plate_0.png|OX65|0.471
Cars129_plate_0.png|OPECLOL|0.806
Cars12_plate_0.png||0.0
Cars130_plate_0.png|KR26BR9044|0.664
Cars131_plate_0.png|585AP29BP|0.934
Cars132_plate_0.png|No text detected|0.0
Cars132_plate_1.png|No text detected|0.0
Cars133_plate_0.png|No text detected|0.0
Cars134_plate_0.png||0.0
Cars135_plate_0.png||0.0
Cars136_plate_0.png||0.0
Cars137_plate_0.png|No text detected|0.0
Cars138_plate_0.png||0.0
Cars139_plate_0.png|No text detected|0.0
Cars139_plate_1.png|No text detected|0.0
Cars13_plate_0.png||0.0
Cars140_plate_0.png||0.0
Cars141_plate_0.png|No text detected|0.0
Cars142_plate_0.png|No text detected|0.0
Cars143_plate_0.png||0.0
Cars143_plate_1.png||0.0
Cars144_plate_0.png|PEN15|0.92
Cars145_plate_0.png||0.0
Cars146_plate_0.png|No text detected|0.0
Cars146_plate_1.png|No text detected|0.0
Cars146_plate_2.png|No text detected|0.0
Cars146_plate_3.png|No text detected|0.0
Cars147_plate_0.png|KLO1CA2555|0.459
Cars148_plate_0.png||0.0
Cars149_plate_0.png||0.0
Cars14_plate_0.png|ALR486|0.83
Cars150_plate_0.png|DL8CX4850|0.637
Cars151_plate_0.png||0.0
Cars152_plate_0.png||0.0
Cars153_plate_0.png|MH20B020|0.499
Cars154_plate_0.png|KA092662|0.831
Cars155_plate_0.png||0.0
Cars156_plate_0.png|PRIVATE|0.893
Cars157_plate_0.png|No text detected|0.0
Cars158_plate_0.png|695299CENTROAMERICA|0.76
Cars159_plate_0.png||0.0
Cars15_plate_0.png||0.0
Cars160_plate_0.png||0.0
Cars161_plate_0.png|MSE6YOB|0.438
Cars162_plate_0.png||0.0
Cars163_plate_0.png|LR33TEE|0.637
Cars164_plate_0.png|No text detected|0.0
Cars165_plate_0.png||0.0
Cars166_plate_0.png||0.0
Cars167_plate_0.png|15LK10898|0.948
